,Relative_yield_change,yield_of_CT,Latitude,Longitude,Years_since_CT_started,Crop_rotation_CT,Crop_rotation_NT,ST,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin
1514,0.0926,5400.0,25.58,85.4,4,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,468.0,440.731,27.269,31.15,38.58161,26.50431
3015,-0.6279,4300.0,45.63,-72.9,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,695.2,449.951,245.249,15.4,26.30599,2.38646
4052,-0.0657,9358.0,40.47,-86.98,14,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,335.4,546.436,-211.036,19.68333,32.4931,2.44523
1661,-0.0349,8600.0,42.02,-93.75,24,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,748.5,541.339,207.161,20.15,28.6768,6.19587
3995,-0.256,6038.0,34.3,-86.02,16,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,632.2,642.644,-10.444,22.4,33.63775,8.52692
1667,-0.1075,9300.0,42.02,-93.75,28,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,447.3,549.174,-101.874,19.25,30.55226,2.8713
1728,-0.1435,5270.0,-0.52,37.27,1,1,1,3,1435.0,1435.0,1435.0,1435.0,0.0,0.0,565.7,780.391,-214.691,21.325,30.64233,15.96019
2891,-0.1452,2410.0,28.63,77.15,4,0,0,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,410.0,475.816,-65.816,30.7,38.48885,17.90754
2486,-0.4545,3300.0,-2.35,30.25,1,0,0,3,1435.0,1435.0,1435.0,1435.0,0.0,0.0,464.4,520.069,-55.669,24.35,26.48293,17.14181
4336,-0.0354,6925.0,35.32,106.07,7,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,460.1000075,378.1232325,81.977,14.52000008,22.54870605,2.445574607
