yield_of_CT,Tmax,Tmin,Relative_yield_change
9600.0,30.41502,2.95163,-0.0104
2486.0,31.60278,15.39401,-0.0217
6553.0,33.27401,4.93877,0.5065
7543.0,32.0074,8.61479,0.1918
6985.0,34.36662,14.71335,0.1011
7994.0,25.95875,3.59192,-0.0308
12090.0,28.16035,8.35861,-0.4301
12720.0,29.7739,9.02815,-0.1612
13800.0,27.40335,7.70542,-0.4978
3200.0,38.09358,19.64371,-0.0313
3900.0,26.6788,17.19974,-0.2821
10950.0,26.06737,3.71739,-0.105
10454.0,27.27658,-4.86435,-0.3051
6140.0,33.71338,9.23935,0.329
9020.0,24.13222,10.73315,-0.0355
5700.0,23.69089,4.94015,0.0702
7600.0,33.76276,22.5147,-0.0789
13900.0,30.3156,5.52771,-0.0576
5850.0,29.26888,4.1768,-0.3949
6600.0,27.07665,4.48937,-0.0758
7300.0,26.11125,1.7455,0.1507
8090.0,27.0668,2.41443,-0.4339
2820.0,30.31787,10.0655,0.0887
9900.0,37.34504,27.14498,0.0202
12400.0,41.81672,19.74682,-0.0242
14500.0,27.70464,4.34373,-0.1241
12230.0,26.37735,2.8024,-0.1439
8500.0,28.72965,7.02579,-0.2235
7495.0,30.93442,7.87919,-0.1606
6901.0,25.88517,12.58576,0.031
12491.0,31.38396,-4.81392,-0.2361
10850.0,31.98261,-5.42037,-0.0885
8132.0,30.85223,9.8688,-0.0743
3820.0,26.41750016,15.21808649,0.367
5394.0,31.78592,3.43443,0.1628
5269.0,30.37084,12.03878,0.008
9200.0,27.15856,4.54438,0.0652
24640.0,24.49335,4.0788,-0.3543
6953.0,26.97492,7.50703,-0.0831
13500.0,37.93914,1.5913,-0.0593
7653.0,20.75053,1.0267,-0.2702
6590.0,33.53418,14.56407,0.2528
21150.0,24.67301,5.33668,-0.1522
2622.0,27.41816,7.9551,0.1812
8290.0,29.86553,6.86344,-0.1496
5520.0,31.14711,6.27729,-0.25
3354.0,35.02888,6.68193,0.0847
4500.0,26.48293,17.14181,-0.1333
10100.0,29.63297395,5.493227067,-0.1881
10660.0,41.91501,18.08905,-0.137
5883.0,29.02979,4.58544,-0.0736
7500.0,33.76276,22.5147,-0.2267
9300.0,27.15856,4.54438,0.043
9541.0,29.70962,4.91865,0.0648
8240.0,25.52041,5.62255,-0.074
5223.0,23.96254,-1.04606,0.0239
2595.0,33.7616,22.35871,0.1919
15500.0,34.95042,12.99181,-0.0387
3715.0,23.79651,5.48964,-0.0896
10933.0,21.08856,3.85794,-0.0118
12090.0,29.7984,7.28592,-0.0602
2903.0,28.99885215,15.60156742,0.0028
8687.0,29.43789,2.67676,-0.0305
1652.0,28.11711,9.32528,-0.2131
5081.0,31.60278,15.39401,-0.0638
4185.0,28.99885215,15.60156742,0.1042
9595.0,28.75747,5.77022,-0.0292
4220.0,32.2319,7.10583,0.6777
12700.0,30.13879,5.57738,-0.0709
5864.0,23.51321,-1.16091,0.0738
8190.0,30.34392,15.63515,0.0244
15434.0,18.91165,2.73168,0.0667
5710.0,30.35739,8.60403,-0.0665
1537.0,24.50043,6.99138,-0.5264
4545.0,35.02888,6.68193,0.0343
9370.0,31.31532,8.00487,-0.0993
6558.0,25.23432,11.56289,-0.1313
11457.0,27.77941,-5.48222,0.0151
10200.0,27.43294,2.39289,-0.0588
3940.0,30.02162,2.66798,-0.2515
5900.0,31.50872,4.28239,-0.1525
3490.0,41.46643,19.8821,0.2808
15479.0,25.99166,2.8238,-0.2275
